,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
369,93,0.067,1733,500,1133.5,1505.5,744,39,117,6,0.690785121,0.690762234,0.586626587,0.58739963,6.932,4.534,489,372,0.645505731,0.633672133,0.29169775,0.387629572,22,83,0.690808007,16,17,0.658190353,0,16,0.611660978,1,0,0.33512612,0,1,0.572041256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,93,0.067,1733,500,1123,1524,802,3,95,4,0.690785121,0.690808007,0.012592328,0.013157492,6.932,4.492,499.5,401,-0.018600898,-0.033640918,0.465619155,0.435996496,2,92,0.676109543,1,2,0.498803199,0,1,0.283090362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,93,0.067,1733,500,1128.5,1531.5,806,3,91,4,0.690785121,0.690808007,0.012592328,0.010185004,6.932,4.514,499.5,403,-0.018600898,-0.021316537,0.465619155,0.435996496,2,88,0.676109543,1,2,0.45509441,0,1,0.277362236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,94,0.067,1681.5,500,1,3,4,426,470,9,0.67739148,0.534013168,0.602690333,0,6.726,0.004,499.5,2,0.572451325,nan,0.454602621,0.454602621,208,71,0.663945036,2,181,0.681178307,159,2,0.673250824,0,159,0.662672243,52,0,0.673604654,0,52,0.63517419,5,0,0.51952079,0,5,0.516259281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,94,0.067,1681.5,500,0,0,0,515,385,9,0.67739148,0,0.602690333,0,6.726,0,499.5,0,0.572451325,0,0,0,208,66,0.663945036,87,146,0.681178307,122,47,0.673250824,35,96,0.662672243,35,9,0.59765204,24,15,0.615030435,3,4,0.529095322,1,2,0.488154718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,94,0.067,1681.5,500,1082.5,1482.5,800,2,98,4,0.67739148,0.681178307,0.011982257,0.012080877,6.726,4.33,499,400,-0.013917793,-0.005637893,0.432425542,0.413008157,1,96,0.663945036,1,1,0.488762977,0,1,0.49917258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,94,0.067,1681.5,500,1110.5,1514.5,808,4,88,5,0.67739148,0.681178307,0.011982257,0.010891178,6.726,4.442,499,404,-0.013917793,0.011825234,0.327615986,0.487774924,1,84,0.663945036,2,1,0.464460487,1,2,0.560556479,0,1,0.481441742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,95,0.067,1679.5,500,952,1287,670,74,156,6,0.679101795,0.647736699,0.598085747,0.595655099,6.718,3.808,496.5,335,0.549609463,0.5607142,0.39313969,0.318845004,11,92,0.688570922,55,6,0.669632669,0,50,0.572717667,8,0,0.509388203,0,8,0.633505436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,95,0.067,1679.5,500,0,0,0,490,410,10,0.679101795,0,0.598085747,0,6.718,0,496.5,0,0.549609463,0,0,0,11,87,0.688570922,172,8,0.669632669,16,150,0.635959225,153,8,0.616005476,61,111,0.675121708,43,19,0.640731736,32,18,0.578268543,2,7,0.503154751,0,2,0.379298844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,95,0.067,1679.5,500,1057.5,1457.5,800,2,98,3,0.679101795,0.688570922,0.013238245,0.01397635,6.718,4.23,500,400,0.010097073,0.011632848,0.391057142,0.298580469,2,96,0.675121708,0,2,0.332956274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
