,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node
118,30,0.073,1956.0,500.0,1150,1536.0,772,1,27,4,0.6941918341068603,0.7026318243309868,0.01495209428514381,0.01139853238298834,7.824,4.6,500,386,-0.025957813780162133,-0.03762591427225345,0.5354213277554543,0.40052074600112825,0,26,0.33310635956884194,1,0,0.27984477587187384,0,1,0.28100007992977705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,30,0.073,1956.0,500.0,817,1140.0,646,2,152,4,0.6941918341068603,0.7026318243309868,0.01495209428514381,0.009035443400768478,7.824,3.268,500,323,-0.025957813780162133,-0.0498639467004687,0.49130569529937856,0.40052074600112825,0,150,0.6754625563027367,2,0,0.3899422584452493,0,2,0.5449898026482379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,31,0.073,1983.5,500.0,1334.5,1694.5,720,9,71,4,0.6876644869941809,0.6924685614566621,0.6193243555395106,0.6380972654605264,7.934,5.338,496,360,0.535234250599258,0.5095681811904385,0.47912157454953774,0.4589794307132391,8,62,0.6984325009536302,1,8,0.671814908178918,0,1,0.338207380437574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,31,0.073,1983.5,500.0,0,0.0,0,323,477,10,0.6876644869941809,0,0.6193243555395106,0,7.934,0.0,496,0,0.535234250599258,0,0,0,8,159,0.6984325009536302,57,5,0.6924685614566621,0,55,0.6129347986686083,166,0,0.671814908178918,0,166,0.6584432770616402,86,0,0.64260598783217,0,86,0.6610336730092179,6,0,0.4650845940991861,0,6,0.5802657843714302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,31,0.073,1983.5,500.0,1073,1440.0,734,2,64,4,0.6876644869941809,0.6984325009536302,0.013934933693757208,0.014967404681301134,7.934,4.292,500,367,-0.011397980025577636,-0.017463192133050497,0.5281613363441278,0.5573075234248911,1,62,0.476554936679426,1,1,0.45284476419761566,0,1,0.3929998882480177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,31,0.073,1983.5,500.0,799.5,1116.5,634,2,164,4,0.6876644869941809,0.6984325009536302,0.013934933693757208,0.014312265022044196,7.934,3.198,500,317,-0.011397980025577636,-0.036244253724966355,0.5019735511566432,0.5019735511566432,1,162,0.6866250737179088,1,1,0.43102722840900737,0,1,0.48720695668264774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,32,0.073,1992.5,500.0,1412,1783.0,742,25,33,3,0.6771320833894292,0.6750110705940132,0.6169165959857139,0.6194037281975285,7.97,5.648,489,371,0.5939449407391713,0.5564411814326915,0.4633392226727211,0.3246027962936718,25,17,0.6792530961848453,0,16,0.6091307953230144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,32,0.073,1992.5,500.0,540.5,750.5,420,128,252,6,0.6771320833894292,0.6750110705940132,0.6169165959857139,0.5911394557823129,7.97,2.162,489,210,0.5939449407391713,0.45097502261119304,0.40572979780669005,0.29712164900254645,25,145,0.6792530961848453,100,19,0.6671419720355412,1,85,0.6348878648751667,2,1,0.5305051635298406,0,2,0.4589053111921149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,32,0.073,1992.5,500.0,1205,1593.0,776,3,21,3,0.6771320833894292,0.6792530961848453,0.01758626289718767,0.016723826002176503,7.97,4.82,499.5,388,-0.0016565902444675594,0.00360781666724495,0.459147104993046,0.3892589276830426,3,18,0.5111623815962024,0,3,0.5281704865813577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,32,0.073,1992.5,500.0,834.5,1156.5,644,5,151,4,0.6771320833894292,0.6792530961848453,0.01758626289718767,0.01633347673720344,7.97,3.338,499.5,322,-0.0016565902444675594,0.005345296737472008,0.3749835601897915,0.3749835601897915,3,147,0.6714554567710499,2,2,0.5112157364224391,0,2,0.6022941742044794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,33,0.073,1967.5,500.0,704,899.0,390,189,221,8,0.6841556353697446,0.6758111994692697,0.6088046335220976,0.631879146494531,7.87,2.816,496.5,195,0.5656318624208836,0.5661851271094853,0.517504998247712,0.3536963847781869,7,36,0.6491144948993427,131,5,0.6863058908108092,0,129,0.6820053799286799,45,0,0.6415891657658566,0,45,0.606923216960964,6,0,0.5452654922487966,0,6,0.5179059207737348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,33,0.073,1967.5,500.0,0,0.0,0,403,397,11,0.6841556353697446,0,0.6088046335220976,0,7.87,0.0,496.5,0,0.5656318624208836,0,0,0,7,163,0.6491144948993427,170,6,0.6863058908108092,0,124,0.6758111994692697,170,0,0.6809709133854567,0,90,0.6452279505489269,50,0,0.6133589379529366,0,12,0.527411206311942,4,0,0.48910104946702937,0,2,0.40416790877810505,2,0,0.417580171443613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
