8,0.045,773,500,387,698,622,107,171,11,0.683533233,0.691037958,0.004098384,0.004876742,3.092,1.548,478,311,-0.002317225,0.406478907,0.406478907,64,76,0.676028509,17,54,0.685415968,12,17,0.683472066,6,10,0.637133045,4,6,0.599380009,1,4,0.546917132,1,1,0.441203684,0,1,0.25700103,2,0,0.433216121,0,2,0.485848483,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.045,732,500,0,0,0,796,104,6,0.682767555,0,0.48986748,0,2.928,0,86,0,0,0,0,771,12,0.685921177,7,88,0.542095854,16,0,0.517191675,0,4,0.510650942,2,0,0.506946289,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.045,732,500,0,0,0,797,103,5,0.682767555,0,0.48986748,0,2.928,0,86,0,0,0,0,771,13,0.685921177,18,87,0.542095854,8,1,0.466616627,0,2,0.494844094,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.045,732,500,0,0,0,458,442,18,0.682767555,0,0.003206989,0,2.928,0,469.5,0,0,0,0,87,90,0.681359669,25,73,0.643649187,31,19,0.654270555,12,27,0.607781739,19,11,0.531978244,12,18,0.685921177,20,12,0.651957662,6,20,0.603514001,23,6,0.587845916,0,23,0.651764111,53,0,0.642454396,0,47,0.632641556,80,0,0.679613933,0,72,0.665358472,82,0,0.677745228,0,24,0.633261956,8,0,0.511557546,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.045,732,500,0,0,0,428,472,18,0.682767555,0,0.003206989,0,2.928,0,469.5,0,0,0,0,87,84,0.681359669,26,68,0.665358472,29,24,0.677745228,21,26,0.64000916,18,19,0.679613933,19,18,0.63670738,15,19,0.642454396,18,14,0.632641556,18,16,0.685921177,18,17,0.590312588,10,18,0.597923935,83,7,0.631891543,3,78,0.654270555,58,1,0.644425684,0,58,0.66682601,5,0,0.430920556,0,5,0.511745586,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.045,738,500,0,0,0,791,109,5,0.679440381,0,0.502695611,0,2.952,0,75.5,0,0,0,0,762,11,0.68186393,6,90,0.65280002,23,0,0.614161521,0,8,0.40404661,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.045,738,500,0,0,0,817,83,5,0.679440381,0,0.502695611,0,2.952,0,75.5,0,0,0,0,762,12,0.68186393,44,69,0.65280002,9,2,0.614161521,2,0,0.541823867,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.045,738,500,0,0,0,442,458,22,0.679440381,0,0.003243166,0,2.952,0,473,0,0,0,0,70,86,0.677016832,35,56,0.652025428,28,31,0.651167037,17,26,0.651711712,10,15,0.613468917,14,9,0.593542453,9,13,0.68186393,12,9,0.595340455,6,12,0.570747673,31,5,0.588040874,2,30,0.631417436,35,1,0.641340863,1,34,0.62292164,47,1,0.621821016,1,47,0.602707475,86,1,0.665419072,20,68,0.663346983,13,2,0.590317775,3,11,0.595011753,1,1,0.565203088,1,0,0.417808756,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.045,738,500,350.5,638.5,576,128,196,12,0.679440381,0.677016832,0.003243166,0.004406415,2.952,1.402,473,288,-0.135248465,0.334767361,0.452746697,70,89,0.664103699,24,54,0.646733914,8,19,0.68186393,12,8,0.637099807,3,12,0.54112456,5,3,0.543979518,1,5,0.596407509,4,1,0.541842473,0,4,0.369884638,1,0,0.465427309,0,1,0.383237637,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045,761.5,500,0,0,0,782,118,5,0.680508005,0,0.483746483,0,3.046,0,77.5,0,0,0,0,746,14,0.691165818,8,96,0.656063072,28,1,0.584545762,0,7,0.536836691,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
