,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp,step44_isol,step44_unsupp,step45_isol,step45_unsupp,step46_isol,step46_unsupp,step47_isol,step47_unsupp,step48_isol,step48_unsupp,step49_isol,step49_unsupp,step50_isol,step50_unsupp,step51_isol,step51_unsupp,step52_isol,step52_unsupp
10946,2737,0.0755,2112,500,1365,1765,800,1,99,4,0.68937247,0.693632027,0.018879593,0.016753732,8.448,5.46,500,400,-0.035309066,0.412538174,0.390557248,0,98,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10947,2737,0.0755,2112,500,1394,1800,812,2,86,4,0.68937247,0.693632027,0.018879593,0.017817356,8.448,5.576,500,406,-0.030205956,0.364001298,0.47103367,0,84,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10948,2738,0.0755,2067,500,1387,1773,772,16,112,4,0.689376434,0.696945712,0.61821176,0.620506911,8.268,5.548,498,386,0.556431542,0.464000005,0.282194312,4,98,12,2,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10949,2738,0.0755,2067,500,1439,1838,798,6,96,4,0.689376434,0.696945712,0.61821176,0.622537557,8.268,5.756,498,399,0.525224221,0.36586069,0.310049837,4,90,2,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,2738,0.0755,2067,500,1295.5,1694.5,798,1,101,4,0.689376434,0.696945712,0.015936345,0.016567872,8.268,5.182,500,399,0.005370573,0.286247448,0.187064019,0,100,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10951,2738,0.0755,2067,500,1356,1761,810,0,90,2,0.689376434,0.696945712,0.015936345,0.014565813,8.268,5.424,500,405,-0.00167442,0.502021792,0.502021792,0,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10952,2739,0.0755,2039,500,1434,1832,796,4,100,3,0.699018679,0.706516898,0.616313659,0.626013476,8.156,5.736,498,398,0.583649954,0.480139366,0.212941233,4,96,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10953,2739,0.0755,2039,500,1345.5,1731.5,772,20,108,4,0.699018679,0.706516898,0.616313659,0.625408896,8.156,5.382,498,386,0.571011734,0.402403911,0.232367752,4,90,16,2,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10954,2739,0.0755,2039,500,1286.5,1686.5,800,2,98,4,0.699018679,0.706516898,0.016084739,0.018295989,8.156,5.146,500,400,-0.033730438,0.49144004,0.367664923,1,96,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10955,2739,0.0755,2039,500,1317,1720,806,1,93,3,0.699018679,0.706516898,0.016084739,0.014812376,8.156,5.268,500,403,-0.036171728,0.375373428,0.296416031,1,92,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
