,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
33,9,0.067,1658.5,500,1030,1397,734,41,125,6,0.68907271,0.689933123,0.585083647,0.593925126,6.634,4.12,494.5,367,0.544940294,0.357629195,0.339318798,13,87,0.678591898,21,10,0.690487474,1,21,0.509719755,6,1,0.492584318,0,6,0.579080033,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,0.067,1658.5,500,1088.5,1490.5,804,2,94,4,0.68907271,0.690487474,0.01264539,0.009514128,6.634,4.354,499.5,402,-0.003252765,0.412653413,0.412653413,1,92,0.669268173,1,1,0.458736482,0,1,0.235270097,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,0.067,1658.5,500,1090.5,1493.5,806,2,92,4,0.68907271,0.690487474,0.01264539,0.010029969,6.634,4.362,499.5,403,0.015769451,0.451825947,0.451825947,1,90,0.678591898,1,1,0.456668978,0,1,0.447775688,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,0.067,1699,500,2.5,5.5,6,470,424,11,0.684915507,0.409309517,0.606842006,0.5,6.796,0.01,480,3,nan,0.342177619,0.342177619,80,82,0.660698549,15,66,0.650216788,179,8,0.678004645,0,134,0.664433354,130,0,0.691826369,0,100,0.592766288,56,0,0.587184464,0,28,0.488859836,10,0,0.50034285,0,6,0.453865536,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10,0.067,1699,500,0,0,0,511,389,11,0.684915507,0,0.606842006,0,6.796,0,480,0,0,0,0,80,87,0.658519561,64,67,0.653943738,192,31,0.678004645,14,162,0.652232285,90,6,0.664433354,65,25,0.586692205,4,5,0.650216788,0,4,0.655795529,2,0,0.691826369,0,2,0.39773028,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.067,1699,500,1135,1537,804,3,93,4,0.684915507,0.691826369,0.012879597,0.013235383,6.796,4.54,499.5,402,-0.01160189,0.233576121,0.358087576,1,90,0.660698549,2,1,0.534607265,0,2,0.532288182,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,0.067,1699,500,1105,1505,800,3,97,4,0.684915507,0.691826369,0.012879597,0.013580482,6.796,4.42,499.5,400,-0.011575643,0.488491073,0.488491073,1,94,0.644151563,2,1,0.527574291,0,2,0.582625483,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,0.067,1658,500,1033.5,1401.5,736,38,126,6,0.68589383,0.695770497,0.592811205,0.574872727,6.632,4.134,499.5,368,0.597912732,0.338615509,0.403247619,9,91,0.668404452,26,7,0.692546601,1,25,0.605315069,2,1,0.613353203,0,2,0.454433929,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,0.067,1658,500,1103,1491,776,18,106,5,0.68589383,0.695770497,0.592811205,0.587107087,6.632,4.412,499.5,388,0.567177499,0.454783186,0.364074324,9,90,0.676017162,6,7,0.565748071,3,6,0.566184885,0,3,0.541350546,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,0.067,1658,500,1075,1478,806,1,93,4,0.68589383,0.695770497,0.011826684,0.013543267,6.632,4.3,500,403,-0.010847777,0.39401091,0.443514158,0,92,0.668404452,1,0,0.636114075,0,1,0.533554551,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
