,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
4216,1055,0.0645,543.5,300,0,0,0,444,96,6,0.697203483,0,0.551718568,0,3.623333333,0,141.5,0,0,0,0,390,16,32,70,20,3,0,7,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4217,1055,0.0645,543.5,300,0,0,0,462,78,5,0.697203483,0,0.551718568,0,3.623333333,0,141.5,0,0,0,0,390,16,60,50,12,8,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4218,1055,0.0645,543.5,300,306,515,418,33,89,8,0.697203483,0.700497316,0.018771629,0.022015265,3.623333333,2.04,296.5,209,-0.041984268,0.33343877,0.314218752,16,57,6,15,6,6,3,6,1,3,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4219,1055,0.0645,543.5,300,318,533,430,27,83,6,0.697203483,0.700497316,0.018771629,0.01877261,3.623333333,2.12,296.5,215,0.000903526,0.433753726,0.419939488,16,57,9,15,0,9,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,1056,0.0645,574,300,0,0,0,443,97,6,0.675162692,0,0.577270009,0,3.826666667,0,82.5,0,0,0,0,424,12,0,80,17,0,0,5,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4221,1056,0.0645,574,300,0,0,0,435,105,6,0.675162692,0,0.577270009,0,3.826666667,0,82.5,0,0,0,0,424,13,3,90,6,0,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4222,1056,0.0645,574,300,344,563,438,29,73,7,0.675162692,0.675858415,0.013367848,0.016066899,3.826666667,2.293333333,291.5,219,0.002564677,0.415000189,0.415000189,23,49,4,19,1,3,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,1056,0.0645,574,300,325.5,536.5,422,35,83,5,0.675162692,0.675858415,0.013367848,0.012265854,3.826666667,2.17,291.5,211,-0.012951046,0.351217687,0.511925464,23,51,9,22,3,7,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,1057,0.0645,530.5,300,0,0,0,401,139,6,0.667026724,0,0.517571755,0,3.536666667,0,102,0,0,0,0,375,10,6,117,16,0,0,12,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4225,1057,0.0645,530.5,300,0,0,0,427,113,6,0.667026724,0,0.517571755,0,3.536666667,0,102,0,0,0,0,375,17,20,91,30,0,0,5,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
