,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp
587,147,0.09800000000000005,1246.0,300.0,813,1055.0,484,0,56,2,0.6787695018157378,0.6816767367110168,0.027441005889535273,0.029314945843871447,8.306666666666667,5.42,300,242,0.0005496113294704095,0.3761576803670774,0.365506039800784,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,148,0.09800000000000005,1212.5,300.0,781,1008.0,454,16,70,4,0.691274845587645,0.6999050227738632,0.6012348468524944,0.6089459293981191,8.083333333333334,5.206666666666667,295.5,227,0.5860144267685601,0.3889784649479984,0.30313350781441806,9,59,7,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,148,0.09800000000000005,1212.5,300.0,795,1027.0,464,12,64,4,0.691274845587645,0.6927823320248427,0.6012348468524944,0.5923572954822954,8.083333333333334,5.3,295.5,232,0.5888692972042804,0.4093090688912341,0.4025410305733109,9,53,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,148,0.09800000000000005,1212.5,300.0,770,1009.0,478,1,61,4,0.691274845587645,0.6999050227738632,0.029389815794227524,0.02636430282873796,8.083333333333334,5.133333333333333,300,239,-0.06802570452264715,0.37898874335118227,0.41956400908391434,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,148,0.09800000000000005,1212.5,300.0,771,1013.0,484,1,55,4,0.691274845587645,0.6999050227738632,0.029389815794227524,0.02819510608766805,8.083333333333334,5.140000000000001,300,242,-0.03614765705051036,0.41284607716177724,0.3907825785120047,0,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,149,0.09800000000000005,1225.5,300.0,864.5,1104.5,480,2,58,4,0.6768982756493012,0.6724516962227642,0.6004331430086147,0.6015481958129016,8.17,5.763333333333334,299.5,240,0.5363465227490998,0.372810865639139,0.18112423030016972,1,56,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,149,0.09800000000000005,1225.5,300.0,859,1102.0,486,1,53,2,0.6768982756493012,0.6724516962227642,0.6004331430086147,0.6028276280727258,8.17,5.726666666666667,299.5,243,0.6150940341361422,0.4635543089706661,0.18112423030016972,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,149,0.09800000000000005,1225.5,300.0,767,1005.0,476,4,60,4,0.6768982756493012,0.681344855075838,0.029968278210151245,0.027298801050654714,8.17,5.113333333333333,300,238,-0.02276749032510111,0.5631706599798645,0.5631706599798645,1,56,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,149,0.09800000000000005,1225.5,300.0,791,1033.0,484,1,55,3,0.6768982756493012,0.6724516962227642,0.029968278210151245,0.028808616773492786,8.17,5.273333333333333,300,242,-0.026534488072548903,0.4931718232702775,0.49827353589616796,1,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,150,0.09800000000000005,1226.5,300.0,850,1092.0,484,1,55,2,0.6764739104643551,0.7027314235545947,0.6234268374540113,0.6347152847152848,8.176666666666668,5.666666666666667,299.5,242,0.5801226931430252,0.39392735099329274,0.3324195564241909,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
